Order_Date,Product,Category,Quantity,Unit_Price,Customer_ID
2025-01-01,Headphones,Electronics,4,,1042
2025-01-02,Laptop,Accessories,1,32984.972534194705,1099
2025-01-03,Keyboard,Electronics,5,21587.876948813293,1043
2025-01-04,Mouse,Accessories,7,17553.05329855544,1081
2025-01-05,Monitor,Accessories,5,22974.341133126978,1065
2025-01-06,Laptop,Electronics,4,49892.31890565816,1021
2025-01-07,Headphones,Electronics,3,47818.6284152172,1002
2025-01-08,Keyboard,Electronics,4,26076.042131736533,1092
2025-01-09,Headphones,Accessories,3,21674.020893420475,1072
2025-01-10,Headphones,Electronics,3,21789.123902963453,1094
2025-01-11,Headphones,Accessories,1,11376.443956446958,1025
2025-01-12,Monitor,Accessories,6,26397.581284244454,1015
2025-01-13,Keyboard,Accessories,5,40716.02917157725,1023
2025-01-14,Laptop,Accessories,3,29776.32645426958,1042
2025-01-15,Headphones,Electronics,2,34737.58213226205,1069
2025-01-16,Headphones,Electronics,7,41623.826467748426,1052
2025-01-17,Laptop,Electronics,7,39939.609412111495,1014
2025-01-18,Keyboard,Accessories,9,44674.05118911656,1003
2025-01-19,Mouse,Accessories,3,37413.562845941284,1007
2025-01-20,Monitor,Accessories,7,24290.782040338854,1024
2025-01-21,Mouse,Electronics,5,6825.827465436238,1005
2025-01-22,Keyboard,Electronics,7,31692.664855964398,1086
2025-01-23,Headphones,Accessories,4,13626.951837616887,1093
2025-01-24,Laptop,Electronics,5,8990.117596090093,1076
2025-01-25,Mouse,Accessories,3,47877.485740821416,1089
2025-01-26,Laptop,Accessories,1,28494.854556502396,1017
2025-01-27,Laptop,Electronics,3,19027.632296840584,1025
2025-01-28,Headphones,Accessories,7,20073.29905706655,1056
2025-01-29,Monitor,Electronics,1,43597.57410380165,1057
2025-01-30,Laptop,Accessories,9,10370.241770317245,1029
2025-01-31,Headphones,Accessories,6,46810.68795743025,1084
2025-02-01,Monitor,Accessories,1,27743.227011874267,1001
2025-02-02,Monitor,Electronics,1,16258.49195634845,1040
2025-02-03,Headphones,Electronics,5,8085.825023856144,1032
2025-02-04,Laptop,Accessories,3,3009.279581902988,1071
2025-02-05,Monitor,Electronics,9,5928.608425881346,1030
2025-02-06,Keyboard,Accessories,3,2109.0467004767474,1048
2025-02-07,Keyboard,Accessories,8,2899.5139049315,1075
2025-02-08,Headphones,Accessories,2,1585.849291695351,1085
2025-02-09,Monitor,Accessories,4,20447.24793517573,1051
2025-02-10,Laptop,Accessories,2,18366.508380180854,1043
2025-02-11,Laptop,Electronics,8,25147.90591940964,1078
2025-02-12,Monitor,Accessories,5,5984.247390756852,1012
2025-02-13,Laptop,Accessories,4,46199.85952276313,1086
2025-02-14,Monitor,Electronics,4,14512.14570049781,1027
2025-02-15,Mouse,Accessories,9,36947.65771570694,1023
2025-02-16,Monitor,Accessories,1,8461.099924618178,1046
2025-02-17,Monitor,Accessories,7,6830.974916996564,1071
2025-02-18,Mouse,Electronics,4,21490.16269058902,1049
2025-02-19,Monitor,Electronics,3,6710.127910924887,1074
2025-02-20,Keyboard,Electronics,2,,1016
2025-02-21,Monitor,Electronics,3,22132.961343275027,1025
2025-02-22,Keyboard,Accessories,6,29967.221346939426,1063
2025-02-23,Laptop,Electronics,1,1601.502188346454,1023
2025-02-24,Headphones,Accessories,1,25779.257455369738,1026
2025-02-25,Monitor,Electronics,7,39809.41544218328,1013
2025-02-26,Headphones,Accessories,5,20383.135605678246,1062
2025-02-27,Mouse,Accessories,1,15527.379991574115,1081
2025-02-28,Keyboard,Accessories,1,43331.92647817896,1038
2025-03-01,Keyboard,Electronics,3,11383.50539154581,1001
2025-03-02,Headphones,Electronics,7,34086.08256050331,1081
2025-03-03,Headphones,Accessories,8,13609.497442121472,1002
2025-03-04,Headphones,Electronics,3,11149.685100318846,1044
2025-03-05,Monitor,Electronics,8,39711.33742802618,1056
2025-03-06,Monitor,Accessories,3,36829.64367845307,1069
2025-03-07,Keyboard,Accessories,5,6599.417526942572,1049
2025-03-08,Keyboard,Accessories,9,14881.387112736824,1033
2025-03-09,Headphones,Electronics,2,37140.6496117337,1069
2025-03-10,Headphones,Electronics,5,5593.764504967247,1062
2025-03-11,Headphones,Accessories,6,29516.965887682676,1044
2025-03-12,Keyboard,Accessories,9,49191.54005466525,1086
2025-03-13,Headphones,Electronics,1,13565.489328718442,1054
2025-03-14,Mouse,Accessories,5,12670.904003391726,1039
2025-03-15,Mouse,Electronics,4,36616.50951315319,1001
2025-03-16,Mouse,Accessories,8,13516.055538924793,1008
2025-03-17,Keyboard,Accessories,1,36038.91081797907,1087
2025-03-18,Laptop,Electronics,2,27411.054725560225,1049
2025-03-19,Laptop,Electronics,8,2721.052444753496,1030
2025-03-20,Headphones,Electronics,7,41820.68687831521,1036
2025-03-21,Monitor,Electronics,1,13616.595393995005,1020
2025-03-22,Mouse,Accessories,4,21390.744541382253,1009
2025-03-23,Monitor,Accessories,5,19357.57254716501,1043
2025-03-24,Keyboard,Electronics,6,19216.181116855856,1072
2025-03-25,Headphones,Electronics,7,15169.651609261047,1043
2025-03-26,Headphones,Electronics,8,38444.40622922879,1093
2025-03-27,Monitor,Electronics,7,18556.805714447888,1040
2025-03-28,Headphones,Electronics,6,32356.722297675697,1081
2025-03-29,Keyboard,Accessories,6,38679.0785424448,1050
2025-03-30,Monitor,Accessories,5,18626.47692127249,1027
2025-03-31,Headphones,Accessories,5,32902.50082371192,1004
2025-04-01,Laptop,Accessories,4,2640.420226221285,1055
2025-04-02,Mouse,Accessories,3,47925.29085508247,1028
2025-04-03,Mouse,Accessories,3,15762.929649049558,1037
2025-04-04,Monitor,Electronics,2,2691.9387255125444,1044
2025-04-05,Headphones,Electronics,1,10715.924252750481,1094
2025-04-06,Mouse,Electronics,9,4714.354189881737,1018
2025-04-07,Monitor,Accessories,1,25578.210843232875,1047
2025-04-08,Mouse,Electronics,7,31662.514754981057,1021
2025-04-09,Mouse,Electronics,3,8130.799031768877,1086
2025-04-10,Monitor,Accessories,3,10934.288638652573,1046
2025-04-11,Keyboard,Electronics,1,,1052
2025-04-12,Monitor,Electronics,6,4145.090238187715,1000
2025-04-13,Headphones,Electronics,5,22602.328527626756,1078
2025-04-14,Laptop,Accessories,4,15422.152076916313,1025
2025-04-15,Keyboard,Accessories,9,25783.916450167013,1015
2025-04-16,Laptop,Electronics,4,49618.68985973409,1060
2025-04-17,Monitor,Electronics,3,46407.46080809866,1058
2025-04-18,Laptop,Accessories,6,45357.820671433925,1006
2025-04-19,Keyboard,Accessories,1,41014.30085161403,1031
2025-04-20,Monitor,Accessories,2,41196.13227334485,1030
2025-04-21,Mouse,Electronics,9,1106.291426987923,1097
2025-04-22,Keyboard,Electronics,1,10213.083166177756,1050
2025-04-23,Keyboard,Accessories,3,27095.11259243106,1022
2025-04-24,Headphones,Accessories,5,34519.79692999493,1090
2025-04-25,Monitor,Electronics,4,47827.250387593886,1004
2025-04-26,Headphones,Accessories,3,39351.36585028638,1092
2025-04-27,Keyboard,Accessories,1,12797.854923761008,1055
2025-04-28,Mouse,Electronics,2,28858.201516964207,1020
2025-04-29,Monitor,Accessories,3,12317.899596844078,1083
2025-04-30,Mouse,Electronics,4,11841.205498853478,1067
2025-05-01,Keyboard,Electronics,7,7545.0340302834775,1033
2025-05-02,Keyboard,Electronics,6,34750.06129078203,1068
2025-05-03,Laptop,Accessories,8,28950.698942727602,1021
2025-05-04,Laptop,Electronics,9,12972.38017384062,1092
2025-05-05,Keyboard,Accessories,4,41438.37854335265,1080
2025-05-06,Laptop,Accessories,5,11119.299735719938,1096
2025-05-07,Monitor,Electronics,5,24418.05944550415,1036
2025-05-08,Mouse,Electronics,9,5506.650474847036,1089
2025-05-09,Mouse,Accessories,5,41821.8986740999,1058
2025-05-10,Keyboard,Electronics,3,42297.88468059412,1038
2025-05-11,Laptop,Electronics,4,35260.17205636254,1037
2025-05-12,Mouse,Electronics,7,28766.63607866478,1083
2025-05-13,Laptop,Electronics,8,7260.3317984306095,1070
2025-05-14,Mouse,Electronics,3,2155.945398117953,1079
2025-05-15,Monitor,Accessories,2,10856.170747977136,1013
2025-05-16,Headphones,Electronics,8,19941.081828338603,1008
2025-05-17,Monitor,Electronics,1,17426.905448835492,1035
2025-05-18,Headphones,Electronics,5,25272.24609512521,1022
2025-05-19,Keyboard,Accessories,2,33833.220284866904,1030
2025-05-20,Headphones,Accessories,5,14508.439819925763,1058
2025-05-21,Mouse,Electronics,5,35524.67823592766,1062
2025-05-22,Headphones,Accessories,7,47928.88224658504,1065
2025-05-23,Headphones,Accessories,5,47260.746604089436,1059
2025-05-24,Laptop,Electronics,4,38235.14704025085,1011
2025-05-25,Monitor,Electronics,6,11103.257353879228,1096
2025-05-26,Monitor,Electronics,7,9208.174891578406,1030
2025-05-27,Mouse,Accessories,1,35578.49040192605,1024
2025-05-28,Mouse,Electronics,8,1278.6749590856016,1065
2025-05-29,Laptop,Accessories,5,7379.542386345043,1049
2025-05-30,Mouse,Accessories,7,43016.521707948785,1034
2025-05-31,Keyboard,Electronics,9,,1092
2025-06-01,Headphones,Electronics,4,20808.5515398564,1005
2025-06-02,Mouse,Electronics,5,28064.24583949288,1030
2025-06-03,Monitor,Electronics,9,8653.371381746709,1067
2025-06-04,Monitor,Electronics,1,9376.854815251614,1012
2025-06-05,Mouse,Electronics,3,14798.874940647429,1026
2025-06-06,Monitor,Accessories,3,19631.90863425981,1085
2025-06-07,Keyboard,Accessories,6,19756.760230247157,1012
2025-06-08,Mouse,Electronics,8,18959.275017498876,1025
2025-06-09,Monitor,Electronics,3,45708.484519666534,1073
2025-06-10,Keyboard,Electronics,4,35330.72028674621,1090
2025-06-11,Keyboard,Accessories,1,19251.8366054839,1096
2025-06-12,Keyboard,Electronics,4,44035.04877105186,1013
2025-06-13,Headphones,Electronics,1,30060.50890304142,1084
2025-06-14,Monitor,Electronics,5,11834.047354838092,1034
2025-06-15,Headphones,Electronics,4,29024.476881829378,1051
2025-06-16,Mouse,Accessories,3,18231.062675689074,1013
2025-06-17,Keyboard,Accessories,7,35194.00837583144,1093
2025-06-18,Monitor,Electronics,5,19133.91523990656,1037
2025-06-19,Laptop,Electronics,2,36479.02106929262,1060
2025-06-20,Laptop,Electronics,1,48610.52219660406,1073
2025-06-21,Laptop,Electronics,4,10355.992504170728,1019
2025-06-22,Monitor,Electronics,6,3612.3670563604787,1066
2025-06-23,Headphones,Accessories,2,43936.24829070234,1060
2025-06-24,Headphones,Accessories,5,38560.63091319681,1091
2025-06-25,Keyboard,Accessories,6,49267.39416389781,1030
2025-06-26,Mouse,Electronics,6,20098.953103190524,1074
2025-06-27,Keyboard,Accessories,7,36408.02093827956,1066
2025-06-28,Headphones,Accessories,1,33780.73998678964,1087
